avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
3,2,ARS,3.75,2.25,1.134002359075,7.5
1,1,LIV,1.25,1.0,1.62871909196,6.25
2,1,CHE,2.75,1.5,1.4797298669624999,3.5
11,6,NEW,10.75,5.75,-0.038796158332500004,2.75
13,7,BRE,13.0,6.75,-0.5047729083375,2.75
4,2,TOT,3.75,2.0,0.9773164783975,2.25
12,6,BOU,12.0,6.25,-0.38386718229499994,1.75
7,4,AVL,7.75,4.25,0.3262567367,1.0
15,8,IPS,14.5,7.75,-0.61985560363,0.5
5,3,MCI,5.75,3.25,0.7158977225800001,0.25
6,3,FUL,6.75,3.5,0.54292043111,-0.25
17,9,WHU,15.75,8.25,-0.797833495175,-0.5
9,5,MUN,9.75,5.25,0.2136431517325,-1.0
16,8,LEI,15.5,8.0,-0.6377353266100001,-1.75
8,4,BHA,8.5,4.25,0.241916601255,-2.25
18,9,EVE,16.75,8.5,-0.9135739542200001,-2.75
19,10,WOL,18.5,9.5,-1.3922231627325001,-2.75
10,5,NFO,9.75,5.0,0.04584006609750001,-3.5
14,7,CRY,14.0,7.25,-0.5670680135125,-6.25
20,10,SOU,19.5,9.75,-1.45051670102,-7.5
