team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
BHA,6,"Welbeck (FWD, ?) ==> (7.7, 6.417)","João Pedro (FWD, ?) ==> (6.0, 5.0)","Mitoma (MID, ?) ==> (5.3, 4.417)","Veltman (DEF, ?) ==> (4.0, 3.333)","Adingra (MID, ?) ==> (3.7, 3.083)"
NEW,6,"Isak (FWD, ?) ==> (5.3, 4.417)","Pope (GKP, ?) ==> (5.3, 4.417)","Barnes (MID, ?) ==> (5.0, 4.167)","Gordon (MID, ?) ==> (5.0, 4.167)","Joelinton (MID, ?) ==> (4.3, 3.583)"
AVL,4,"Onana (MID, ?) ==> (6.7, 4.839)","Duran (FWD, ?) ==> (4.7, 3.394)","Digne (DEF, ?) ==> (3.7, 2.672)","Tielemans (MID, ?) ==> (3.3, 2.383)","Watkins (FWD, ?) ==> (3.0, 2.167)"
LIV,3,"M.Salah (MID, ?) ==> (13.7, 9.133)","Luis Díaz (MID, ?) ==> (10.7, 7.133)","A.Becker (GKP, ?) ==> (7.0, 4.667)","Alexander-Arnold (DEF, ?) ==> (6.7, 4.467)","Robertson (DEF, ?) ==> (6.0, 4.0)"
ARS,2,"Saka (MID, ?) ==> (8.0, 4.889)","Havertz (FWD, ?) ==> (7.3, 4.461)","Raya (GKP, ?) ==> (6.7, 4.094)","Thomas (MID, ?) ==> (5.0, 3.056)","Gabriel (DEF, ?) ==> (4.7, 2.872)"
MCI,2,"Haaland (FWD, ?) ==> (13.7, 8.372)","De Bruyne (MID, ?) ==> (5.3, 3.239)","Bernardo (MID, ?) ==> (5.0, 3.056)","Kovačić (MID, ?) ==> (4.7, 2.872)","Lewis (DEF, ?) ==> (4.7, 2.872)"
WHU,2,"Bowen (MID, ?) ==> (5.0, 3.056)","Souček (MID, ?) ==> (4.7, 2.872)","Kilman (DEF, ?) ==> (4.3, 2.628)","L.Paquetá (MID, ?) ==> (3.7, 2.261)","Mavropanos (DEF, ?) ==> (3.3, 2.017)"
MUN,2,"Mazraoui (DEF, ?) ==> (4.3, 2.628)","Amad (MID, ?) ==> (3.3, 2.017)","Zirkzee (FWD, ?) ==> (3.3, 2.017)","Dalot (DEF, ?) ==> (3.0, 1.833)","Maguire (DEF, ?) ==> (2.7, 1.65)"
LEI,2,"Buonanotte (MID, ?) ==> (4.3, 2.628)","A.Fatawu (MID, ?) ==> (4.0, 2.444)","Vardy (FWD, ?) ==> (3.7, 2.261)","Faes (DEF, ?) ==> (3.0, 1.833)","Ndidi (MID, ?) ==> (3.0, 1.833)"
CHE,1,"Madueke (MID, ?) ==> (9.15, 5.083)","Palmer (MID, ?) ==> (8.3, 4.611)","N.Jackson (FWD, ?) ==> (6.0, 3.333)","João Félix (MID, ?) ==> (3.5, 1.944)","Enzo (MID, ?) ==> (2.0, 1.111)"
BOU,-1,"Semenyo (MID, ?) ==> (6.3, 2.8)","Sinisterra (MID, ?) ==> (4.7, 2.089)","Tavernier (MID, ?) ==> (4.3, 1.911)","Cook (MID, ?) ==> (3.3, 1.467)","Kluivert (MID, ?) ==> (2.7, 1.2)"
TOT,-2,"Son (MID, ?) ==> (7.0, 2.722)","Romero (DEF, ?) ==> (5.7, 2.217)","Pedro Porro (DEF, ?) ==> (5.3, 2.061)","Van de Ven (DEF, ?) ==> (4.6, 1.789)","Bissouma (MID, ?) ==> (4.15, 1.614)"
BRE,-2,"Mbeumo (MID, ?) ==> (8.0, 3.111)","Wissa (FWD, ?) ==> (7.0, 2.722)","Collins (DEF, ?) ==> (4.0, 1.556)","Flekken (GKP, ?) ==> (3.3, 1.283)","Jensen (MID, ?) ==> (3.0, 1.167)"
FUL,-2,"Adama (MID, ?) ==> (5.7, 2.217)","Smith Rowe (MID, ?) ==> (5.0, 1.944)","Robinson (DEF, ?) ==> (4.3, 1.672)","Iwobi (MID, ?) ==> (4.0, 1.556)","Leno (GKP, ?) ==> (3.0, 1.167)"
SOU,-2,"Sugawara (DEF, ?) ==> (3.3, 1.283)","McCarthy (GKP, ?) ==> (2.5, 0.972)","Aribo (MID, ?) ==> (2.0, 0.778)","Smallbone (MID, ?) ==> (1.7, 0.661)","Walker-Peters (DEF, ?) ==> (1.7, 0.661)"
CRY,-2,"Eze (MID, ?) ==> (4.7, 1.828)","Henderson (GKP, ?) ==> (2.3, 0.894)","C.Doucouré (MID, ?) ==> (2.1, 0.817)","Muñoz (DEF, ?) ==> (2.0, 0.778)","Wharton (MID, ?) ==> (2.0, 0.778)"
NFO,-3,"Wood (FWD, ?) ==> (6.3, 2.1)","Gibbs-White (MID, ?) ==> (4.3, 1.433)","Aina (DEF, ?) ==> (4.0, 1.333)","Murillo (DEF, ?) ==> (3.7, 1.233)","Sels (GKP, ?) ==> (3.7, 1.233)"
EVE,-4,"Calvert-Lewin (FWD, ?) ==> (5.3, 1.472)","McNeil (MID, ?) ==> (3.3, 0.917)","Keane (DEF, ?) ==> (2.3, 0.639)","Gana (MID, ?) ==> (2.0, 0.556)","Harrison (MID, ?) ==> (1.7, 0.472)"
IPS,-6,"Delap (FWD, ?) ==> (3.7, 0.617)","Szmodics (MID, ?) ==> (3.0, 0.5)","Davis (DEF, ?) ==> (2.7, 0.45)","Ogbene (MID, ?) ==> (2.0, 0.333)","Hutchinson (MID, ?) ==> (1.7, 0.283)"
WOL,-6,"Strand Larsen (FWD, ?) ==> (3.3, 0.55)","Bellegarde (MID, ?) ==> (3.0, 0.5)","Cunha (FWD, ?) ==> (3.0, 0.5)","Mario Jr. (MID, ?) ==> (3.0, 0.5)","Aït-Nouri (DEF, ?) ==> (1.3, 0.217)"
