team,avg_adv_nxtGWs,#atts,#defs,Player1,Player2,Player3
NEW,7.0,0,3,"Trippier (DEF, v) ==> 5.0","Pope (GKP, v) ==> 4.4","Schär (DEF, ~) ==> 4.333"
BHA,5.0,2,1,"March (MID, ~) ==> 4.867","Mitoma (MID, v) ==> 4.7","Steele (GKP, v) ==> 4.067"
LIV,5.0,2,1,"Salah (MID, ^) ==> 6.2","Diogo Jota (FWD, ^) ==> 5.067","Alexander-Arnold (DEF, ^) ==> 3.8"
MCI,3.33,3,0,"Haaland (FWD, ^) ==> 8.067","De Bruyne (MID, ~) ==> 7.133","Grealish (MID, ~) ==> 6.567"
MUN,2.67,1,2,"Rashford (MID, v) ==> 5.5","Dalot (DEF, ^) ==> 4.533","De Gea (GKP, ~) ==> 4.4"
ARS,2.67,1,2,"Martinelli (MID, ~) ==> 6.6","White (DEF, ~) ==> 4.367","Gabriel (DEF, v) ==> 3.067"
BRE,2.67,1,2,"Toney (FWD, ~) ==> 5.533","Raya (GKP, ~) ==> 3.8","Pinnock (DEF, v) ==> 3.0"
LEI,1.0,3,0,"Maddison (MID, v) ==> 3.667","Barnes (MID, v) ==> 3.4","Iheanacho (FWD, ^) ==> 3.067"
BOU,0.67,3,0,"Solanke (FWD, ^) ==> 4.733","Billing (MID, v) ==> 3.667","Tavernier (MID, v) ==> 3.4"
AVL,0.0,0,3,"Martínez (GKP, ~) ==> 4.6","Álex Moreno (DEF, ~) ==> 4.4","Mings (DEF, ~) ==> 4.067"
