home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
2,0,0,CHE,LUT,0,-2,0
-1,-2,-2,BOU,TOT,2,1,2
-1,3,1,ARS,FUL,-1,1,-3
0,3,2,BRE,CRY,-2,0,-3
0,0,0,EVE,WOL,0,0,0
0,1,1,MUN,NFO,-1,0,-1
2,-1,1,BHA,WHU,-1,-2,1
-3,-4,-4,BUR,AVL,4,3,4
-4,-2,-4,SHU,MCI,4,4,2
2,-1,1,NEW,LIV,-1,-2,1
-1,-3,-2,LUT,WHU,2,1,3
0,1,0,SHU,EVE,0,0,-1
3,2,3,BRE,BOU,-3,-3,-2
-3,-3,-3,BUR,TOT,3,3,3
1,-1,0,CHE,NFO,0,-1,1
0,3,2,MCI,FUL,-2,0,-3
2,-2,1,BHA,NEW,-1,-2,2
1,4,2,CRY,WOL,-2,-1,-4
0,-2,-2,LIV,AVL,2,0,2
-1,3,1,ARS,MUN,-1,1,-3
-2,-3,-2,WOL,LIV,2,2,3
0,2,2,AVL,CRY,-2,0,-2
1,2,1,FUL,LUT,-1,-1,-2
-1,-1,-2,MUN,BHA,2,1,1
2,3,3,TOT,SHU,-3,-2,-3
-1,-1,-1,WHU,MCI,1,1,1
-4,-2,-3,EVE,ARS,3,4,2
1,-1,0,BOU,CHE,0,-1,1
0,-2,-1,NEW,BRE,1,0,2
2,1,1,NFO,BUR,-1,-2,-1
-1,-3,-3,CHE,AVL,3,1,3
-2,3,0,CRY,FUL,0,2,-3
1,0,1,LUT,WOL,-1,-1,0
2,2,3,MCI,NFO,-3,-2,-2
4,4,4,BRE,EVE,-4,-4,-4
-3,-1,-2,BUR,MUN,2,3,1
-1,1,0,ARS,TOT,0,1,-1
3,0,3,BHA,BOU,-3,-3,0
1,-1,-1,LIV,WHU,1,-1,1
-2,-3,-3,SHU,NEW,3,2,3
