att_rank,att_tier,team,att_xPts,avg_GF/match,att_potential,attAdv_nxtGWs
2,1,LIV,35.045,2.0,1.61072179,9
1,1,MCI,32.0248,2.6,1.67582648,4
4,2,AVL,30.1842,2.0,1.05286029,4
8,4,BRE,27.5932,1.4,0.34377263,3
12,6,ARS,21.4878,1.6,-0.21968666,3
3,2,CHE,31.9102,2.2,1.38819062,1
10,5,NFO,24.9034,1.2,-0.10217055,1
18,9,CRY,18.2516,0.8,-1.14006402,1
6,3,FUL,28.8786,1.4,0.49129468,0
15,8,BOU,22.0944,1.0,-0.561794,0
17,9,WHU,18.1102,1.0,-1.01905038,0
5,3,BHA,29.8024,1.6,0.73455858,-1
9,5,NEW,26.2382,1.4,0.18826277,-1
7,4,TOT,25.9866,1.8,0.43387078,-2
14,7,MUN,22.0944,1.0,-0.561794,-2
20,10,SOU,16.4404,0.4,-1.62241429,-2
13,7,EVE,23.2628,1.0,-0.42769974,-3
19,10,IPS,16.8966,0.6,-1.43281564,-3
11,6,LEI,24.3618,1.2,-0.16432859,-5
16,8,WOL,21.173,1.0,-0.66754071,-7
